time,user,liquidated_ntl_pos,liquidated_account_value,leverage_type
2023-04-26T20:00:59Z,0x23901b6a565b9e225b2260e664ef496ce05941e4,1105.81272,10.566949,Cross
2023-04-26T20:02:48Z,0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,2402.38182,18.75132,Cross
2023-04-27T00:18:15Z,0x88727f97c56ba30ad694df193315c6a39cbae5f7,377.44,3.577542,Cross
2023-04-27T08:12:47Z,0x42061acc5da4af3b779aa7a275e72ad163308490,28.71228,0.267327,Cross
2023-04-27T12:30:57Z,0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,525.027,4.864452,Cross
2023-04-28T19:03:02Z,0xb837ffd9b67af904ef9f0ffefcdd9f0cfae22fc7,4844.235,48.433945,Cross
2023-04-29T12:52:18Z,0x27c295f01ff5d5d3fdeb1af9115eb5208404c099,18942.20444,186.347684,Cross
2023-04-29T17:30:43Z,0x139791013f6dcc26f4052e6a7b8ed50099e7d15b,7921.70118,71.148371,Cross
2023-04-29T17:30:51Z,0x8d7e609eabc813df14ef5ae36346de96503af0c4,484.39932,3.10991,Cross
2023-04-29T17:31:11Z,0x3e91ea006f8b2394a6db8ab0225309ad6e7ed9cb,2678.52816,20.816332,Cross
2023-04-30T15:15:18Z,0x97b3596e843d6068bd4d65ac267429dcf0b5ad02,1453.62328,13.318266,Cross
2023-04-30T20:05:12Z,0x48b576c87e788a762d6f95a456f2a39113b46950,1602.90298,16.004892,Cross
2023-05-01T01:51:27Z,0x8cc643e445b705141b47403b584e3d594bf79f75,365.38,3.06528,Cross
2023-05-01T19:15:28Z,0xa68c0c992ca96b0d74aab97d25dde6da3168f79c,627.15936,6.087831,Cross
2023-05-01T21:00:07Z,0x948f7fc9081fd40959a8461036879e797ad8fc81,30.35088,0.303186,Cross
